DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
10/24/2012 03:48,2.90,222,4.20,17.4,1018.7,,
10/24/2012 03:54,3.70,222,5.10,17.4,1018.7,,
10/24/2012 04:00,3.30,226,5.10,17.4,1018.7,,
10/24/2012 04:06,3.00,227,5.30,17.4,1018.6,,
10/24/2012 04:12,3.40,219,5.10,17.4,1018.6,,
10/24/2012 04:18,3.20,216,5.00,17.4,1018.6,,
10/24/2012 04:24,3.70,214,5.40,17.4,1018.6,,
10/24/2012 04:30,3.70,218,5.50,17.4,1018.6,,
10/24/2012 04:36,4.10,219,7.10,17.5,1018.6,,
10/24/2012 04:42,4.00,220,5.50,17.3,1018.6,,
10/24/2012 04:48,2.70,221,4.10,17.3,1018.7,,
10/24/2012 04:54,3.60,221,5.70,17.3,1018.6,,
10/24/2012 05:00,3.20,224,5.10,17.3,1018.6,,
10/24/2012 05:06,3.70,221,5.40,17.4,1018.5,,
10/24/2012 05:12,3.40,225,5.20,17.4,1018.5,,
10/24/2012 05:18,3.50,225,6.40,17.4,1018.5,,
10/24/2012 05:24,3.90,226,5.80,17.4,1018.5,,
10/24/2012 05:30,4.60,228,6.60,17.4,1018.5,,
10/24/2012 05:36,3.50,230,5.20,17.4,1018.5,,
10/24/2012 05:42,3.90,226,5.60,17.4,1018.5,,
10/24/2012 05:48,3.90,228,5.90,17.5,1018.4,,
10/24/2012 05:54,3.20,230,4.70,17.5,1018.5,,
10/24/2012 06:00,3.40,227,5.10,17.5,1018.4,,
10/24/2012 06:06,3.20,226,5.40,17.5,1018.4,,
10/24/2012 06:12,3.90,230,5.70,17.4,1018.4,,
10/24/2012 06:18,3.80,232,6.10,17.4,1018.4,,
10/24/2012 06:24,3.70,230,5.30,17.4,1018.4,,
10/24/2012 06:30,4.00,233,5.90,17.3,1018.5,,
10/24/2012 06:36,3.30,230,4.70,17.3,1018.4,,
10/24/2012 06:42,3.60,232,5.50,17.3,1018.4,,
10/24/2012 06:48,3.40,235,4.90,17.3,1018.4,,
10/24/2012 06:54,3.80,229,5.40,17.4,1018.4,,
10/24/2012 07:00,3.30,234,5.40,17.3,1018.4,,
10/24/2012 07:06,3.70,233,5.50,17.3,1018.3,,
10/24/2012 07:12,3.70,234,6.00,17.3,1018.2,,
10/24/2012 07:18,4.00,233,5.70,17.4,1018.2,,
10/24/2012 07:24,3.40,230,5.40,17.3,1018.1,,
10/24/2012 07:30,3.50,230,5.30,17.2,1018.1,,
10/24/2012 07:36,3.50,229,5.90,17.2,1018.1,,
10/24/2012 07:42,3.20,235,4.60,17.2,1018.1,,
10/24/2012 07:48,3.60,232,6.00,17.2,1018.0,,
10/24/2012 07:54,3.50,234,5.60,17.3,1018.1,,
10/24/2012 08:00,3.50,234,5.10,17.3,1018.2,,
10/24/2012 08:06,3.30,241,4.60,17.3,1018.2,,
10/24/2012 08:12,3.50,240,5.40,17.3,1018.2,,
10/24/2012 08:18,3.70,239,5.60,17.2,1018.3,,
10/24/2012 08:24,3.30,233,4.70,17.2,1018.2,,
10/24/2012 08:30,3.70,235,6.10,17.1,1018.3,,
10/24/2012 08:36,3.80,239,6.80,17.1,1018.3,,
10/24/2012 08:42,3.30,241,4.20,17.0,1018.3,,
10/24/2012 08:48,4.10,237,5.90,16.9,1018.3,,
10/24/2012 08:54,4.00,232,5.80,16.9,1018.3,,
10/24/2012 09:00,4.00,233,6.20,17.0,1018.3,,
10/24/2012 09:06,3.40,235,5.00,17.0,1018.3,,
10/24/2012 09:12,3.80,233,5.70,17.0,1018.3,,
10/24/2012 09:18,4.10,236,5.60,17.1,1018.3,,
10/24/2012 09:24,3.80,230,5.60,17.0,1018.3,,
10/24/2012 09:30,3.40,233,4.80,17.0,1018.4,,
10/24/2012 09:36,3.60,238,5.60,17.1,1018.4,,
10/24/2012 09:42,3.40,234,5.40,16.9,1018.5,,
10/24/2012 09:48,3.80,234,5.20,17.0,1018.5,,
10/24/2012 09:54,3.20,236,4.40,16.9,1018.6,,
10/24/2012 10:00,3.60,235,5.50,16.9,1018.6,,
10/24/2012 10:06,3.60,236,5.50,16.9,1018.6,,
10/24/2012 10:12,3.60,237,5.00,16.9,1018.6,,
10/24/2012 10:18,3.10,234,5.30,16.8,1018.7,,
10/24/2012 10:24,3.30,237,4.50,16.9,1018.8,,
10/24/2012 10:30,3.00,249,3.90,17.0,1019.0,,
10/24/2012 10:36,2.20,269,3.50,17.0,1019.1,,
10/24/2012 10:42,2.10,248,2.70,17.0,1019.1,,
10/24/2012 10:48,1.80,249,2.80,16.9,1019.1,,
10/24/2012 10:54,2.20,253,3.30,16.9,1019.1,,
10/24/2012 11:00,2.10,253,2.70,16.9,1019.1,,
10/24/2012 11:06,2.30,249,2.90,16.8,1019.1,,
10/24/2012 11:12,2.00,248,2.50,16.6,1019.1,,
10/24/2012 11:18,0.80,283,1.40,16.6,1019.2,,
10/24/2012 11:24,1.10,290,1.70,16.7,1019.3,,
10/24/2012 11:30,1.70,258,2.30,16.6,1019.3,,
10/24/2012 11:36,1.00,287,1.60,16.5,1019.4,,
10/24/2012 11:42,1.50,254,2.10,16.6,1019.4,,
10/24/2012 11:48,1.50,276,1.70,16.6,1019.6,,
10/24/2012 11:54,1.90,268,2.30,16.7,1019.6,,
10/24/2012 12:00,2.00,259,2.50,16.6,1019.6,,
10/24/2012 12:06,1.70,266,2.30,16.6,1019.6,,
10/24/2012 12:12,2.10,264,2.40,16.7,1019.7,,
10/24/2012 12:18,1.90,264,2.40,16.7,1019.7,,
10/24/2012 12:24,1.80,271,2.10,16.7,1019.7,,
10/24/2012 12:30,1.60,257,2.20,16.9,1019.8,,
10/24/2012 12:36,2.20,273,2.70,17.0,1019.8,,
10/24/2012 12:42,2.40,274,3.10,17.0,1019.9,,
10/24/2012 12:48,2.10,273,2.50,17.1,1019.9,,
10/24/2012 12:54,2.50,280,3.00,17.3,1019.9,,
10/24/2012 13:00,2.40,280,2.80,17.3,1019.8,,
10/24/2012 13:06,2.20,280,2.80,17.5,1019.8,,
10/24/2012 13:12,2.50,292,3.00,18.0,1019.9,,
10/24/2012 13:18,3.00,297,3.80,17.7,1019.9,,
10/24/2012 13:24,3.10,300,3.50,17.6,1020.0,,
10/24/2012 13:30,3.00,304,3.30,17.6,1019.9,,
10/24/2012 13:36,2.70,301,2.90,17.8,1019.9,,
10/24/2012 13:42,1.90,353,2.50,17.3,1020.0,,
10/24/2012 13:48,1.90,8,2.10,17.2,1020.0,,
10/24/2012 13:54,2.00,8,2.30,17.3,1020.0,,
10/24/2012 14:00,2.30,5,2.50,17.1,1020.0,,
10/24/2012 14:06,1.80,17,2.10,17.1,1020.0,,
10/24/2012 14:12,1.40,25,1.80,17.2,1020.0,,
10/24/2012 14:18,1.00,30,1.20,17.3,1020.0,,
10/24/2012 14:24,1.50,25,1.80,17.3,1020.0,,
10/24/2012 14:30,1.40,46,1.60,17.2,1019.9,,
10/24/2012 14:36,1.30,69,1.40,17.2,1019.8,,
10/24/2012 14:42,1.50,42,1.60,17.3,1019.8,,
10/24/2012 14:48,1.30,38,1.40,17.4,1019.8,,
10/24/2012 14:54,1.20,44,1.40,17.5,1019.8,,
10/24/2012 15:00,1.40,27,1.50,17.3,1019.8,,
10/24/2012 15:06,1.80,35,1.90,17.3,1019.7,,
10/24/2012 15:12,1.70,22,1.90,17.3,1019.7,,
10/24/2012 15:18,1.80,26,2.00,17.4,1019.7,,
10/24/2012 15:24,1.90,30,2.00,17.4,1019.6,,
10/24/2012 15:30,1.40,29,1.70,17.4,1019.6,,
10/24/2012 15:36,1.60,52,2.10,17.4,1019.6,,
10/24/2012 15:42,1.30,85,1.60,17.5,1019.5,,
10/24/2012 15:48,1.10,45,1.70,17.4,1019.7,,
10/24/2012 15:54,1.30,60,1.80,17.5,1019.5,,
10/24/2012 16:00,1.90,51,2.20,17.4,1019.4,,
10/24/2012 16:06,2.10,58,2.40,17.4,1019.3,,
10/24/2012 16:12,2.00,41,2.20,17.4,1019.3,,
10/24/2012 16:18,1.70,50,1.90,17.5,1019.3,,
10/24/2012 16:24,0.70,45,1.40,17.8,1019.2,,
10/24/2012 16:30,0.30,69,0.50,17.7,1019.2,,
10/24/2012 16:36,,0,,18.1,1019.2,,
10/24/2012 16:42,1.60,18,1.80,17.7,1019.1,,
10/24/2012 16:48,1.30,25,1.50,17.8,1019.0,,
10/24/2012 16:54,1.10,23,1.50,17.8,1018.9,,
10/24/2012 17:00,0.90,72,1.00,17.7,1018.9,,
10/24/2012 17:06,1.30,69,1.50,17.7,1018.8,,
10/24/2012 17:12,1.60,59,1.70,17.6,1018.7,,
10/24/2012 17:18,1.80,45,2.20,17.6,1018.7,,
10/24/2012 17:24,2.60,33,2.90,17.5,1018.7,,
10/24/2012 17:30,2.00,23,2.30,17.6,1018.8,,
10/24/2012 17:36,2.00,24,2.30,17.7,1018.8,,
10/24/2012 17:42,2.00,27,2.20,17.7,1018.8,,
10/24/2012 17:48,1.90,29,2.20,17.9,1018.8,,
10/24/2012 17:54,1.50,41,1.80,18.1,1018.7,,
10/24/2012 18:00,1.50,56,1.80,18.1,1018.7,,
10/24/2012 18:06,1.80,39,2.10,18.1,1018.7,,
10/24/2012 18:12,2.10,35,2.40,18.1,1018.6,,
10/24/2012 18:18,1.90,42,2.20,18.2,1018.6,,
10/24/2012 18:24,1.90,46,2.30,18.2,1018.6,,
10/24/2012 18:30,1.80,44,2.50,18.2,1018.5,,
10/24/2012 18:36,2.30,45,2.70,18.3,1018.5,,
10/24/2012 18:42,2.20,38,2.60,18.4,1018.6,,
10/24/2012 18:48,2.30,45,2.90,18.4,1018.5,,
10/24/2012 18:54,2.50,56,2.70,18.4,1018.4,,
10/24/2012 19:00,3.00,51,3.30,18.4,1018.4,,
10/24/2012 19:06,1.90,60,2.20,18.6,1018.4,,
